"Date","Price","Open","High","Low","Vol.","Change %"
"11-11-2023","16.47","15.49","16.57","14.76","12.29M","6.37%"
"10-11-2023","15.49","14.61","15.64","14.14","13.11M","6.02%"
"09-11-2023","14.61","14.94","15.94","13.92","19.43M","-2.26%"
"08-11-2023","14.94","13.04","14.97","12.86","12.95M","14.58%"
"07-11-2023","13.04","12.98","13.32","12.55","12.20M","0.45%"
"06-11-2023","12.98","12.22","13.24","12.13","10.29M","6.29%"
"05-11-2023","12.22","11.50","12.52","11.36","12.17M","6.22%"
"04-11-2023","11.50","11.45","11.62","11.16","5.37M","0.43%"
"03-11-2023","11.45","11.00","11.59","10.58","9.05M","4.11%"
"02-11-2023","11.00","11.64","11.74","10.85","8.22M","-5.51%"
"01-11-2023","11.64","11.36","11.77","10.70","10.84M","2.51%"
"31-10-2023","11.36","11.22","11.98","10.96","12.79M","1.20%"
"30-10-2023","11.22","11.08","11.85","10.89","9.75M","1.33%"
"29-10-2023","11.08","10.93","11.28","10.76","5.43M","1.36%"
"28-10-2023","10.93","11.18","11.64","10.84","7.90M","-2.26%"
"27-10-2023","11.18","10.91","11.41","10.63","12.03M","2.47%"
"26-10-2023","10.91","11.04","11.38","10.40","11.23M","-1.21%"
"25-10-2023","11.04","10.38","11.70","10.35","17.67M","6.38%"
"24-10-2023","10.38","10.56","11.10","9.78","17.54M","-1.65%"
"23-10-2023","10.56","10.19","10.99","9.81","25.39M","3.56%"
"22-10-2023","10.19","8.91","10.21","8.85","19.05M","14.43%"
"21-10-2023","8.91","7.57","9.15","7.52","15.86M","17.61%"
"20-10-2023","7.57","7.30","7.70","7.26","4.38M","3.71%"
"19-10-2023","7.30","7.36","7.43","7.25","2.47M","-0.68%"
"18-10-2023","7.35","7.32","7.48","7.28","2.35M","0.48%"
"17-10-2023","7.32","7.53","7.56","7.28","2.93M","-2.87%"
"16-10-2023","7.53","7.42","7.79","7.41","4.57M","1.60%"
"15-10-2023","7.42","7.33","7.55","7.29","2.35M","1.20%"
"14-10-2023","7.33","7.26","7.37","7.22","1.55M","0.95%"
"13-10-2023","7.26","7.20","7.40","7.12","4.57M","0.89%"
"12-10-2023","7.20","7.39","7.41","7.12","4.68M","-2.62%"
"11-10-2023","7.39","7.26","7.42","7.16","4.78M","1.70%"
"10-10-2023","7.26","7.28","7.38","7.18","4.31M","-0.14%"
"09-10-2023","7.28","7.67","7.69","7.16","6.27M","-5.16%"
"08-10-2023","7.67","7.53","7.91","7.50","5.77M","1.92%"
"07-10-2023","7.53","7.64","7.68","7.47","2.89M","-1.52%"
"06-10-2023","7.64","7.47","7.75","7.44","3.24M","2.41%"
"05-10-2023","7.46","7.67","7.79","7.46","3.91M","-2.75%"
"04-10-2023","7.67","7.41","7.76","7.22","5.60M","3.55%"
"03-10-2023","7.41","7.47","7.74","7.37","7.97M","-0.85%"
"02-10-2023","7.47","8.04","8.09","7.36","9.11M","-7.09%"
"01-10-2023","8.04","8.19","8.25","7.78","5.88M","-1.74%"
"30-09-2023","8.19","7.95","8.27","7.94","5.45M","2.99%"
"29-09-2023","7.95","7.81","8.07","7.68","4.75M","1.79%"
"28-09-2023","7.81","7.64","8.04","7.58","7.40M","2.21%"
"27-09-2023","7.64","7.36","7.87","7.27","7.39M","3.82%"
"26-09-2023","7.36","7.50","7.56","7.25","3.97M","-1.83%"
"25-09-2023","7.50","6.97","7.51","6.94","5.06M","7.50%"
"24-09-2023","6.97","7.19","7.25","6.97","3.21M","-3.01%"
"23-09-2023","7.19","6.96","7.22","6.92","6.47M","3.35%"
"22-09-2023","6.96","6.66","6.97","6.62","3.14M","4.40%"
"21-09-2023","6.66","6.90","6.94","6.61","4.34M","-3.49%"
"20-09-2023","6.90","6.85","7.03","6.75","4.64M","0.93%"
"19-09-2023","6.84","6.56","6.96","6.53","5.66M","4.30%"
"18-09-2023","6.56","6.15","6.82","6.11","8.09M","6.72%"
"17-09-2023","6.15","6.28","6.28","6.06","1.53M","-2.21%"
"16-09-2023","6.28","6.37","6.42","6.19","1.94M","-1.29%"
"15-09-2023","6.37","6.15","6.37","6.10","2.56M","3.50%"
"14-09-2023","6.15","6.02","6.21","6.01","3.47M","2.25%"
"13-09-2023","6.02","5.95","6.07","5.93","3.03M","1.06%"
"12-09-2023","5.95","5.83","6.07","5.81","3.16M","2.15%"
"11-09-2023","5.83","6.01","6.03","5.75","4.36M","-3.06%"
"10-09-2023","6.01","6.16","6.16","5.96","2.98M","-2.45%"
"09-09-2023","6.16","6.28","6.29","6.16","1.08M","-1.82%"
"08-09-2023","6.28","6.39","6.40","6.16","2.05M","-1.74%"
"07-09-2023","6.39","6.30","6.47","6.20","3.15M","1.48%"
"06-09-2023","6.30","6.14","6.33","6.11","4.86M","2.51%"
"05-09-2023","6.14","6.02","6.15","5.91","3.00M","2.11%"
"04-09-2023","6.02","6.03","6.16","5.95","2.82M","-0.20%"
"03-09-2023","6.03","5.97","6.06","5.95","1.80M","1.04%"
"02-09-2023","5.97","5.94","6.00","5.89","1.31M","0.42%"
"01-09-2023","5.94","5.88","6.03","5.83","3.71M","1.04%"
"31-08-2023","5.88","5.93","6.06","5.76","4.26M","-0.81%"
"30-08-2023","5.93","6.19","6.20","5.89","3.28M","-4.22%"
"29-08-2023","6.19","5.98","6.31","5.85","5.70M","3.44%"
"28-08-2023","5.98","6.03","6.03","5.87","3.41M","-0.76%"
"27-08-2023","6.03","6.01","6.04","5.96","1.35M","0.37%"
"26-08-2023","6.01","6.01","6.04","5.96","1.66M","-0.13%"
"25-08-2023","6.01","6.08","6.08","5.92","3.19M","-1.15%"
"24-08-2023","6.08","6.35","6.37","5.99","3.04M","-4.16%"
"23-08-2023","6.35","6.11","6.43","6.11","3.66M","3.84%"
"22-08-2023","6.11","6.17","6.25","5.90","4.00M","-0.99%"
"21-08-2023","6.17","6.22","6.25","6.02","3.11M","-0.69%"
"20-08-2023","6.22","6.18","6.23","6.12","1.29M","0.66%"
